"","X","PID","index","time_elapsed","block","stimulus_id","reward_type","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","register_reward_acc"
"1415",1415,"OgF5m",50,1154913,3,18,-1,0,0.558,-1,0.771,1
"1416",1416,"OgF5m",51,1158535,3,47,-1,0,0.599,-1,0.699,1
"1417",1417,"OgF5m",52,1162017,3,37,-1,0,0.452,-1,0.739,1
"1418",1418,"OgF5m",53,1165676,3,23,-1,0,0.622,-1,0.687,1
"1419",1419,"OgF5m",54,1169207,3,31,-1,0,0.499,-1,0.781,1
"1420",1420,"OgF5m",55,1172673,3,47,-1,0,0.434,-1,0.769,1
"1421",1421,"OgF5m",56,1176315,3,13,1,142,0.599,1,0.577,1
"1422",1422,"OgF5m",57,1179915,3,23,-1,0,0.584,-1,0.739,1
"1423",1423,"OgF5m",58,1183544,3,19,-1,0,0.594,-1,0.952,1
"1424",1424,"OgF5m",59,1187268,3,31,-1,0,0.701,-1,0.77,1
"1425",1425,"OgF5m",6,992809,1,18,-1,0,0.623,-1,0.891,1
"1426",1426,"OgF5m",60,1190796,3,37,-1,0,0.514,-1,1.306,1
"1427",1427,"OgF5m",61,1194354,3,46,1,147,0.523,1,0.698,1
"1428",1428,"OgF5m",62,1197817,3,39,1,160,0.437,1,0.884,1
"1429",1429,"OgF5m",63,1201285,3,0,1,152,0.45,1,0.801,1
"1430",1430,"OgF5m",64,1204855,3,21,1,153,0.557,1,0.942,1
"1431",1431,"OgF5m",65,1208429,3,18,-1,0,0.545,-1,1.041,1
"1432",1432,"OgF5m",66,1211971,3,46,1,147,0.526,1,0.629,1
"1433",1433,"OgF5m",67,1215418,3,21,1,153,0.43,1,0.783,1
"1434",1434,"OgF5m",68,1219090,3,32,1,150,0.643,1,1.151,1
"1435",1435,"OgF5m",69,1222604,3,19,-1,0,0.487,-1,0.737,1
"1436",1436,"OgF5m",7,996564,1,37,-1,0,0.719,-1,0.875,1
"1437",1437,"OgF5m",70,1226134,3,32,1,150,0.5,1,0.822,1
"1438",1438,"OgF5m",71,1229632,3,0,1,152,0.46,1,0.585,1
"1439",1439,"OgF5m",8,1000147,1,32,1,150,0.54,1,0.724,1
"1440",1440,"OgF5m",9,1003861,1,19,-1,0,0.699,1,0.809,0
"1441",1441,"Ooi3v",0,799407,1,20,-1,0,1.111,-1,1.384,1
"1442",1442,"Ooi3v",1,803542,1,36,1,155,1.092,1,0.85,1
"1443",1443,"Ooi3v",10,839201,1,41,-1,0,1.068,-1,0.81,1
"1444",1444,"Ooi3v",11,843413,1,2,-1,0,1.173,-1,0.578,1
"1445",1445,"Ooi3v",12,848140,1,36,1,155,1.699,1,0.695,1
"1446",1446,"Ooi3v",13,852821,1,17,-1,0,1.644,-1,0.752,1
"1447",1447,"Ooi3v",14,857312,1,44,1,157,1.464,1,0.862,1
"1448",1448,"Ooi3v",15,861700,1,41,-1,0,1.358,-1,0.7,1
"1449",1449,"Ooi3v",16,866124,1,21,-1,0,1.393,-1,0.764,1
"1450",1450,"Ooi3v",17,870108,1,21,-1,0,0.958,-1,0.844,1
"1451",1451,"Ooi3v",18,874653,1,17,-1,0,1.529,-1,0.797,1
"1452",1452,"Ooi3v",19,878953,1,30,1,148,1.259,1,0.929,1
"1453",1453,"Ooi3v",2,807323,1,31,-1,0,0.754,-1,0.719,1
"1454",1454,"Ooi3v",20,883138,1,44,1,157,1.153,1,0.847,1
"1455",1455,"Ooi3v",21,887522,1,12,1,145,1.357,1,0.96,1
"1456",1456,"Ooi3v",22,891973,1,30,1,148,1.418,1,1.08,1
"1457",1457,"Ooi3v",23,897200,1,12,1,145,2.213,1,0.867,1
"1458",1458,"Ooi3v",24,904786,2,44,1,157,2.032,1,0.935,1
"1459",1459,"Ooi3v",25,908694,2,19,1,150,0.883,1,0.816,1
"1460",1460,"Ooi3v",26,912698,2,44,1,157,0.974,1,1.341,1
"1461",1461,"Ooi3v",27,916823,2,36,1,155,1.098,1,0.95,1
"1462",1462,"Ooi3v",28,920752,2,48,1,157,0.914,1,1.175,1
"1463",1463,"Ooi3v",29,924633,2,41,-1,0,0.843,-1,0.844,1
"1464",1464,"Ooi3v",3,811057,1,48,1,157,0.707,1,0.573,1
"1465",1465,"Ooi3v",30,928693,2,19,1,150,1.033,1,0.846,1
"1466",1466,"Ooi3v",31,932655,2,2,-1,0,0.945,-1,0.783,1
"1467",1467,"Ooi3v",32,936795,2,21,-1,0,1.102,-1,0.946,1
"1468",1468,"Ooi3v",33,940467,2,41,-1,0,0.644,-1,0.747,1
"1469",1469,"Ooi3v",34,944330,2,20,-1,0,0.821,-1,0.815,1
"1470",1470,"Ooi3v",35,948132,2,12,1,145,0.765,1,0.668,1
"1471",1471,"Ooi3v",36,951830,2,12,1,145,0.678,1,1.02,1
"1472",1472,"Ooi3v",37,955651,2,30,1,148,0.798,1,0.756,1
"1473",1473,"Ooi3v",38,959612,2,31,-1,0,0.924,-1,0.921,1
"1474",1474,"Ooi3v",39,963256,2,20,-1,0,0.608,-1,1.187,1
"1475",1475,"Ooi3v",4,814907,1,2,-1,0,0.818,-1,0.566,1
"1476",1476,"Ooi3v",40,967144,2,36,1,155,0.849,1,0.89,1
"1477",1477,"Ooi3v",41,971025,2,21,-1,0,0.845,-1,1.253,1
"1478",1478,"Ooi3v",42,974852,2,30,1,148,0.799,1,0.417,1
"1479",1479,"Ooi3v",43,978669,2,48,1,157,0.776,1,0.47,1
"1480",1480,"Ooi3v",44,982783,2,17,-1,0,1.078,-1,0.342,1
"1481",1481,"Ooi3v",45,986562,2,2,-1,0,0.747,-1,0.34,1
"1482",1482,"Ooi3v",46,990558,2,31,-1,0,0.958,-1,0.313,1
"1483",1483,"Ooi3v",47,994449,2,17,-1,0,0.868,-1,0.572,1
"1484",1484,"Ooi3v",48,1000372,3,36,1,155,1.191,1,0.534,1
"1485",1485,"Ooi3v",49,1004039,3,21,-1,0,0.646,-1,0.574,1
"1486",1486,"Ooi3v",5,819241,1,31,-1,0,1.318,-1,0.742,1
"1487",1487,"Ooi3v",50,1008091,3,48,1,157,1.014,1,0.611,1
"1488",1488,"Ooi3v",51,1011764,3,12,1,145,0.633,1,0.682,1
"1489",1489,"Ooi3v",52,1015241,3,2,-1,0,0.461,-1,0.983,1
"1490",1490,"Ooi3v",53,1018955,3,20,-1,0,0.677,-1,0.943,1
"1491",1491,"Ooi3v",54,1022579,3,36,1,155,0.607,1,0.558,1
"1492",1492,"Ooi3v",55,1026782,3,21,-1,0,1.186,-1,0.872,1
"1493",1493,"Ooi3v",56,1030894,3,30,1,148,1.085,1,0.836,1
"1494",1494,"Ooi3v",57,1034867,3,12,1,145,0.953,1,0.987,1
"1495",1495,"Ooi3v",58,1038633,3,31,-1,0,0.729,-1,0.721,1
"1496",1496,"Ooi3v",59,1043320,3,44,1,157,1.645,1,0.445,1
"1497",1497,"Ooi3v",6,823130,1,20,-1,0,0.87,-1,0.61,1
"1498",1498,"Ooi3v",60,1047047,3,19,1,150,0.705,1,0.98,1
"1499",1499,"Ooi3v",61,1051507,3,30,1,148,1.439,1,0.669,1
"1500",1500,"Ooi3v",62,1055584,3,17,-1,0,1.059,-1,1.103,1
"1501",1501,"Ooi3v",63,1059508,3,20,-1,0,0.895,-1,0.818,1
"1502",1502,"Ooi3v",64,1063370,3,2,-1,0,0.845,-1,0.972,1
"1503",1503,"Ooi3v",65,1067848,3,44,1,157,1.439,1,0.619,1
"1504",1504,"Ooi3v",66,1071566,3,19,1,150,0.684,1,0.392,1
"1505",1505,"Ooi3v",67,1075609,3,48,1,157,1.021,1,0.479,1
"1506",1506,"Ooi3v",68,1079412,3,17,-1,0,0.763,-1,0.771,1
"1507",1507,"Ooi3v",69,1083191,3,41,-1,0,0.76,-1,0.964,1
"1508",1508,"Ooi3v",7,827249,1,48,1,157,1.093,1,0.585,1
"1509",1509,"Ooi3v",70,1089173,3,31,-1,0,2.95,-1,0.524,1
"1510",1510,"Ooi3v",71,1092808,3,41,-1,0,0.608,-1,0.431,1
"1511",1511,"Ooi3v",8,831305,1,19,1,150,1.016,1,0.605,1
"1512",1512,"Ooi3v",9,835110,1,19,1,150,0.779,1,0.474,1
"1513",1513,"PKUhO",0,2023436,1,14,-1,0,1.208,-1,2.006,1
"1514",1514,"PKUhO",1,2027334,1,22,-1,0,0.878,-1,1.534,1
"1515",1515,"PKUhO",10,2061524,1,14,-1,0,0.454,-1,0.57,1
"1516",1516,"PKUhO",11,2065051,1,33,1,151,0.5,1,1.149,1
"1517",1517,"PKUhO",12,2068606,1,11,1,155,0.529,1,0.47,1
"1518",1518,"PKUhO",13,2072011,1,22,-1,0,0.383,-1,0.512,1
"1519",1519,"PKUhO",14,2075488,1,5,-1,0,0.443,-1,0.62,1
"1520",1520,"PKUhO",15,2078905,1,33,1,151,0.392,1,0.643,1
"1521",1521,"PKUhO",16,2082353,1,8,1,152,0.422,1,0.501,1
"1522",1522,"PKUhO",17,2085772,1,0,1,152,0.403,1,0.484,1
"1523",1523,"PKUhO",18,2089285,1,7,1,147,0.49,1,0.497,1
"1524",1524,"PKUhO",19,2092773,1,5,-1,0,0.449,-1,0.572,1
"1525",1525,"PKUhO",2,2030930,1,26,-1,0,0.562,NA,NA,NA
"1526",1526,"PKUhO",20,2096334,1,36,-1,0,0.532,-1,0.696,1
"1527",1527,"PKUhO",21,2099890,1,11,1,155,0.527,1,0.603,1
"1528",1528,"PKUhO",22,2103454,1,31,-1,0,0.548,-1,0.622,1
"1529",1529,"PKUhO",23,2106934,1,8,1,152,0.452,1,0.394,1
"1530",1530,"PKUhO",24,2115030,2,26,-1,0,1.038,-1,0.748,1
"1531",1531,"PKUhO",25,2118542,2,33,1,151,0.488,1,0.717,1
"1532",1532,"PKUhO",26,2122061,2,14,-1,0,0.498,-1,0.617,1
"1533",1533,"PKUhO",27,2125510,2,33,1,151,0.415,1,0.655,1
"1534",1534,"PKUhO",28,2128983,2,31,-1,0,0.44,-1,0.623,1
"1535",1535,"PKUhO",29,2132635,2,31,-1,0,0.621,-1,0.582,1
"1536",1536,"PKUhO",3,2036354,1,4,1,150,0.899,1,1.061,1
"1537",1537,"PKUhO",30,2136109,2,7,1,147,0.455,1,0.571,1
"1538",1538,"PKUhO",31,2139590,2,0,1,152,0.429,1,0.564,1
"1539",1539,"PKUhO",32,2143057,2,11,1,155,0.436,1,0.611,1
"1540",1540,"PKUhO",33,2146656,2,4,1,150,0.567,1,0.614,1
"1541",1541,"PKUhO",34,2150175,2,8,1,152,0.502,1,0.671,1
"1542",1542,"PKUhO",35,2153673,2,5,-1,0,0.477,-1,0.634,1
"1543",1543,"PKUhO",36,2157174,2,4,1,150,0.486,1,0.628,1
"1544",1544,"PKUhO",37,2160617,2,36,-1,0,0.405,-1,0.568,1
"1545",1545,"PKUhO",38,2164052,2,36,-1,0,0.407,-1,0.726,1
"1546",1546,"PKUhO",39,2167685,2,5,-1,0,0.602,-1,0.75,1
"1547",1547,"PKUhO",4,2040012,1,0,1,152,0.633,1,0.644,1
"1548",1548,"PKUhO",40,2171338,2,22,-1,0,0.629,-1,0.679,1
"1549",1549,"PKUhO",41,2174850,2,26,-1,0,0.486,-1,0.737,1
"1550",1550,"PKUhO",42,2178400,2,11,1,155,0.522,1,0.655,1
"1551",1551,"PKUhO",43,2181859,2,22,-1,0,0.435,-1,0.577,1
"1552",1552,"PKUhO",44,2185289,2,8,1,152,0.418,1,0.691,1
"1553",1553,"PKUhO",45,2188758,2,0,1,152,0.452,1,0.604,1
"1554",1554,"PKUhO",46,2192278,2,14,-1,0,0.478,-1,0.628,1
"1555",1555,"PKUhO",47,2195882,2,7,1,147,0.582,1,0.585,1
"1556",1556,"PKUhO",48,2201006,3,7,1,147,0.547,1,0.675,1
"1557",1557,"PKUhO",49,2204442,3,36,-1,0,0.402,-1,0.607,1
"1558",1558,"PKUhO",5,2043652,1,31,-1,0,0.611,-1,0.695,1
"1559",1559,"PKUhO",50,2207889,3,26,-1,0,0.426,-1,0.602,1
"1560",1560,"PKUhO",51,2211333,3,5,-1,0,0.418,-1,0.591,1
"1561",1561,"PKUhO",52,2214787,3,22,-1,0,0.426,-1,0.575,1
"1562",1562,"PKUhO",53,2218305,3,14,-1,0,0.491,-1,0.586,1
"1563",1563,"PKUhO",54,2221824,3,5,-1,0,0.496,-1,0.581,1
"1564",1564,"PKUhO",55,2225421,3,26,-1,0,0.565,-1,0.562,1
"1565",1565,"PKUhO",56,2228867,3,0,1,152,0.422,1,0.634,1
"1566",1566,"PKUhO",57,2232364,3,8,1,152,0.448,1,0.633,1
"1567",1567,"PKUhO",58,2235839,3,0,1,152,0.451,1,0.546,1
"1568",1568,"PKUhO",59,2239390,3,22,-1,0,0.522,-1,0.575,1
"1569",1569,"PKUhO",6,2047197,1,4,1,150,0.515,1,0.692,1
"1570",1570,"PKUhO",60,2242888,3,4,1,150,0.477,1,0.675,1
"1571",1571,"PKUhO",61,2246291,3,8,1,152,0.381,1,0.639,1
"1572",1572,"PKUhO",62,2250287,3,33,1,151,0.972,1,0.553,1
"1573",1573,"PKUhO",63,2253999,3,33,1,151,0.687,1,0.532,1
"1574",1574,"PKUhO",64,2257667,3,31,-1,0,0.65,-1,0.702,1
"1575",1575,"PKUhO",65,2261109,3,7,1,147,0.424,1,0.642,1
"1576",1576,"PKUhO",66,2264812,3,31,-1,0,0.673,-1,0.672,1
"1577",1577,"PKUhO",67,2268312,3,11,1,155,0.471,1,0.578,1
"1578",1578,"PKUhO",68,2271886,3,11,1,155,0.55,1,0.585,1
"1579",1579,"PKUhO",69,2275585,3,36,-1,0,0.668,-1,0.654,1
"1580",1580,"PKUhO",7,2050896,1,36,-1,0,0.659,-1,0.618,1
"1581",1581,"PKUhO",70,2279205,3,14,-1,0,0.598,-1,0.546,1
"1582",1582,"PKUhO",71,2282826,3,4,1,150,0.583,1,0.564,1
"1583",1583,"PKUhO",8,2054471,1,7,1,147,0.539,1,0.493,1
"1584",1584,"PKUhO",9,2058039,1,26,-1,0,0.542,-1,0.712,1
"1657",1657,"QGgHx",0,19058946,1,24,-1,0,0.7,-1,1.164,1
"1658",1658,"QGgHx",1,19062493,1,0,-1,0,0.53,-1,0.791,1
"1659",1659,"QGgHx",10,19096798,1,15,1,150,0.795,1,0.709,1
"1660",1660,"QGgHx",11,19100429,1,12,1,145,0.61,1,0.599,1
"1661",1661,"QGgHx",12,19104096,1,3,1,157,0.645,1,0.534,1
"1662",1662,"QGgHx",13,19107803,1,40,-1,0,0.687,-1,0.762,1
"1663",1663,"QGgHx",14,19111378,1,16,-1,0,0.559,-1,0.716,1
"1664",1664,"QGgHx",15,19114895,1,17,-1,0,0.5,-1,0.729,1
"1665",1665,"QGgHx",16,19118610,1,3,1,157,0.695,1,0.836,1
"1666",1666,"QGgHx",17,19122164,1,23,1,148,0.536,1,0.62,1
"1667",1667,"QGgHx",18,19125846,1,32,-1,0,0.667,-1,0.671,1
"1668",1668,"QGgHx",19,19129434,1,16,-1,0,0.566,-1,0.384,1
"1669",1669,"QGgHx",2,19066149,1,24,-1,0,0.633,-1,0.855,1
"1670",1670,"QGgHx",20,19133105,1,13,1,158,0.654,1,0.793,1
"1671",1671,"QGgHx",21,19136664,1,17,-1,0,0.54,-1,0.528,1
"1672",1672,"QGgHx",22,19140313,1,27,1,160,0.629,1,0.454,1
"1673",1673,"QGgHx",23,19143704,1,32,-1,0,0.372,-1,0.534,1
"1674",1674,"QGgHx",24,19149497,2,13,1,158,1.045,1,0.975,1
"1675",1675,"QGgHx",25,19153094,2,15,1,150,0.58,1,0.628,1
"1676",1676,"QGgHx",26,19156619,2,12,1,145,0.509,1,0.555,1
"1677",1677,"QGgHx",27,19160560,2,16,-1,0,0.924,-1,0.376,1
"1678",1678,"QGgHx",28,19164137,2,0,-1,0,0.558,-1,0.701,1
"1679",1679,"QGgHx",29,19167696,2,3,1,157,0.541,1,0.632,1
"1680",1680,"QGgHx",3,19069800,1,15,1,150,0.629,1,1.115,1
"1681",1681,"QGgHx",30,19171949,2,23,1,148,1.233,-1,0.83,0
"1682",1682,"QGgHx",31,19175693,2,32,-1,0,0.722,-1,0.665,1
"1683",1683,"QGgHx",32,19179837,2,32,-1,0,1.118,-1,0.548,1
"1684",1684,"QGgHx",33,19183445,2,12,1,145,0.586,1,0.39,1
"1685",1685,"QGgHx",34,19187207,2,27,1,160,0.739,1,0.355,1
"1686",1686,"QGgHx",35,19190524,2,27,1,160,0.296,1,0.406,1
"1687",1687,"QGgHx",36,19194307,2,3,1,157,0.76,1,0.49,1
"1688",1688,"QGgHx",37,19197615,2,23,1,148,0.292,1,0.481,1
"1689",1689,"QGgHx",38,19201209,2,16,-1,0,0.573,-1,0.366,1
"1690",1690,"QGgHx",39,19204558,2,15,1,150,0.331,1,0.377,1
"1691",1691,"QGgHx",4,19074116,1,13,1,158,1.297,1,1.087,1
"1692",1692,"QGgHx",40,19208347,2,13,1,158,0.768,1,0.328,1
"1693",1693,"QGgHx",41,19212037,2,40,-1,0,0.674,-1,0.246,1
"1694",1694,"QGgHx",42,19215677,2,0,-1,0,0.616,-1,0.176,1
"1695",1695,"QGgHx",43,19219876,2,40,-1,0,1.184,-1,0.196,1
"1696",1696,"QGgHx",44,19223570,2,17,-1,0,0.671,-1,0.208,1
"1697",1697,"QGgHx",45,19227173,2,17,-1,0,0.585,-1,0.217,1
"1698",1698,"QGgHx",46,19230896,2,24,-1,0,0.7,-1,0.374,1
"1699",1699,"QGgHx",47,19234763,2,24,-1,0,0.848,-1,0.388,1
"1700",1700,"QGgHx",48,19239869,3,12,1,145,0.729,1,0.225,1
"1701",1701,"QGgHx",49,19243429,3,40,-1,0,0.536,-1,0.218,1
"1702",1702,"QGgHx",5,19077901,1,12,1,145,0.761,1,0.905,1
"1703",1703,"QGgHx",50,19247307,3,27,1,160,0.856,1,0.328,1
"1704",1704,"QGgHx",51,19251137,3,16,-1,0,0.814,-1,0.329,1
"1705",1705,"QGgHx",52,19254519,3,0,-1,0,0.364,-1,0.44,1
"1706",1706,"QGgHx",53,19258140,3,17,-1,0,0.6,-1,0.286,1
"1707",1707,"QGgHx",54,19261833,3,32,-1,0,0.669,-1,0.221,1
"1708",1708,"QGgHx",55,19265692,3,16,-1,0,0.842,-1,0.241,1
"1709",1709,"QGgHx",56,19269326,3,17,-1,0,0.611,-1,0.268,1
"1710",1710,"QGgHx",57,19273028,3,0,-1,0,0.682,-1,0.232,1
"1711",1711,"QGgHx",58,19276707,3,3,1,157,0.657,1,0.748,1
"1712",1712,"QGgHx",59,19280321,3,23,1,148,0.598,1,0.328,1
"1713",1713,"QGgHx",6,19081683,1,40,-1,0,0.759,-1,0.77,1
"1714",1714,"QGgHx",60,19284142,3,24,-1,0,0.804,-1,0.51,1
"1715",1715,"QGgHx",61,19287806,3,15,1,150,0.643,1,0.365,1
"1716",1716,"QGgHx",62,19291672,3,40,-1,0,0.845,-1,0.362,1
"1717",1717,"QGgHx",63,19295315,3,27,1,160,0.625,1,0.743,1
"1718",1718,"QGgHx",64,19298945,3,15,1,150,0.615,1,0.315,1
"1719",1719,"QGgHx",65,19302528,3,3,1,157,0.564,1,0.389,1
"1720",1720,"QGgHx",66,19306153,3,12,1,145,0.606,1,0.214,1
"1721",1721,"QGgHx",67,19309780,3,23,1,148,0.608,1,0.215,1
"1722",1722,"QGgHx",68,19313404,3,24,-1,0,0.61,-1,0.325,1
"1723",1723,"QGgHx",69,19317032,3,13,1,158,0.605,1,0.202,1
"1724",1724,"QGgHx",7,19085461,1,27,1,160,0.761,1,0.735,1
"1725",1725,"QGgHx",70,19320809,3,32,-1,0,0.757,-1,0.238,1
"1726",1726,"QGgHx",71,19324393,3,13,1,158,0.565,1,0.241,1
"1727",1727,"QGgHx",8,19089091,1,23,1,148,0.607,1,0.83,1
"1728",1728,"QGgHx",9,19092987,1,0,-1,0,0.88,-1,0.639,1
"1729",1729,"qZmtG",0,556821,1,14,-1,0,0.856,-1,0.896,1
"1730",1730,"qZmtG",1,560036,1,25,1,140,0.166,1,0.785,1
"1731",1731,"qZmtG",10,592480,1,15,1,140,0.538,1,0.563,1
"1732",1732,"qZmtG",11,595950,1,14,-1,0,0.433,-1,0.715,1
"1733",1733,"qZmtG",12,599635,1,47,1,156,0.643,1,0.609,1
"1734",1734,"qZmtG",13,603187,1,17,1,150,0.534,1,0.568,1
"1735",1735,"qZmtG",14,606676,1,20,-1,0,0.46,-1,0.609,1
"1736",1736,"qZmtG",15,610095,1,44,-1,0,0.384,-1,0.612,1
"1737",1737,"qZmtG",16,613676,1,15,1,140,0.545,1,0.52,1
"1738",1738,"qZmtG",17,617253,1,47,1,156,0.55,1,0.586,1
"1739",1739,"qZmtG",18,620831,1,49,1,154,0.536,1,0.429,1
"1740",1740,"qZmtG",19,624319,1,17,1,150,0.448,1,0.743,1
"1741",1741,"qZmtG",2,563678,1,33,-1,0,0.612,-1,0.587,1
"1742",1742,"qZmtG",20,627806,1,24,-1,0,0.453,-1,0.542,1
"1743",1743,"qZmtG",21,631315,1,33,-1,0,0.471,-1,0.587,1
"1744",1744,"qZmtG",22,634736,1,11,-1,0,0.386,-1,0.496,1
"1745",1745,"qZmtG",23,638243,1,44,-1,0,0.485,-1,0.613,1
"1746",1746,"qZmtG",24,644416,2,33,-1,0,0.848,-1,0.761,1
"1747",1747,"qZmtG",25,647943,2,47,1,156,0.501,1,0.498,1
"1748",1748,"qZmtG",26,651901,2,14,-1,0,0.924,-1,0.342,1
"1749",1749,"qZmtG",27,655681,2,15,1,140,0.751,1,0.477,1
"1750",1750,"qZmtG",28,659148,2,17,1,150,0.436,1,0.363,1
"1751",1751,"qZmtG",29,662706,2,24,-1,0,0.52,-1,0.406,1
"1752",1752,"qZmtG",3,567261,1,32,1,148,0.541,1,0.692,1
"1753",1753,"qZmtG",30,666211,2,20,-1,0,0.479,-1,0.524,1
"1754",1754,"qZmtG",31,669724,2,24,-1,0,0.484,-1,0.428,1
"1755",1755,"qZmtG",32,673298,2,32,1,148,0.532,1,0.411,1
"1756",1756,"qZmtG",33,676810,2,49,1,154,0.49,1,0.386,1
"1757",1757,"qZmtG",34,680408,2,33,-1,0,0.573,-1,0.635,1
"1758",1758,"qZmtG",35,683967,2,11,-1,0,0.532,-1,0.407,1
"1759",1759,"qZmtG",36,687524,2,25,1,140,0.529,1,0.473,1
"1760",1760,"qZmtG",37,691077,2,47,1,156,0.529,1,0.453,1
"1761",1761,"qZmtG",38,694811,2,49,1,154,0.711,1,0.498,1
"1762",1762,"qZmtG",39,698342,2,20,-1,0,0.498,-1,0.433,1
"1763",1763,"qZmtG",4,571149,1,11,-1,0,0.857,-1,1.216,1
"1764",1764,"qZmtG",40,701833,2,11,-1,0,0.453,-1,0.563,1
"1765",1765,"qZmtG",41,705389,2,44,-1,0,0.529,-1,0.54,1
"1766",1766,"qZmtG",42,708943,2,44,-1,0,0.515,-1,0.519,1
"1767",1767,"qZmtG",43,712476,2,17,1,150,0.503,1,0.541,1
"1768",1768,"qZmtG",44,715963,2,15,1,140,0.45,1,0.407,1
"1769",1769,"qZmtG",45,719630,2,32,1,148,0.64,1,0.409,1
"1770",1770,"qZmtG",46,723501,2,14,-1,0,0.833,-1,0.609,1
"1771",1771,"qZmtG",47,728474,2,25,1,140,1.937,1,0.453,1
"1772",1772,"qZmtG",48,734060,3,33,-1,0,0.739,-1,0.536,1
"1773",1773,"qZmtG",49,737609,3,20,-1,0,0.521,-1,0.405,1
"1774",1774,"qZmtG",5,574701,1,20,-1,0,0.523,-1,0.658,1
"1775",1775,"qZmtG",50,741187,3,17,1,150,0.547,1,0.475,1
"1776",1776,"qZmtG",51,744810,3,24,-1,0,0.598,-1,0.43,1
"1777",1777,"qZmtG",52,748343,3,14,-1,0,0.504,-1,0.607,1
"1778",1778,"qZmtG",53,752007,3,44,-1,0,0.632,-1,0.68,1
"1779",1779,"qZmtG",54,755677,3,49,1,154,0.63,1,0.497,1
"1780",1780,"qZmtG",55,759319,3,44,-1,0,0.613,-1,0.613,1
"1781",1781,"qZmtG",56,763103,3,11,-1,0,0.757,-1,0.407,1
"1782",1782,"qZmtG",57,766636,3,33,-1,0,0.495,-1,0.541,1
"1783",1783,"qZmtG",58,770461,3,25,1,140,0.802,1,0.586,1
"1784",1784,"qZmtG",59,774530,3,47,1,156,1.032,1,0.884,1
"1785",1785,"qZmtG",6,578256,1,25,1,140,0.521,1,0.635,1
"1786",1786,"qZmtG",60,778266,3,47,1,156,0.706,1,0.341,1
"1787",1787,"qZmtG",61,781754,3,20,-1,0,0.467,-1,0.498,1
"1788",1788,"qZmtG",62,785579,3,49,1,154,0.795,1,0.5,1
"1789",1789,"qZmtG",63,789359,3,32,1,148,0.741,1,0.388,1
"1790",1790,"qZmtG",64,792938,3,11,-1,0,0.543,-1,0.452,1
"1791",1791,"qZmtG",65,796562,3,24,-1,0,0.59,-1,0.497,1
"1792",1792,"qZmtG",66,800071,3,17,1,150,0.473,1,0.452,1
"1793",1793,"qZmtG",67,803650,3,32,1,148,0.543,1,0.495,1
"1794",1794,"qZmtG",68,807204,3,14,-1,0,0.523,-1,0.429,1
"1795",1795,"qZmtG",69,810806,3,25,1,140,0.553,1,0.428,1
"1796",1796,"qZmtG",7,581835,1,24,-1,0,0.555,-1,0.612,1
"1797",1797,"qZmtG",70,814581,3,15,1,140,0.748,1,0.455,1
"1798",1798,"qZmtG",71,818182,3,15,1,140,0.555,1,0.409,1
"1799",1799,"qZmtG",8,585414,1,32,1,148,0.55,1,0.699,1
"1800",1800,"qZmtG",9,588902,1,49,1,154,0.45,1,0.678,1
"1801",1801,"rHMtE",0,2129128,1,27,-1,0,1.654,1,1.315,0
"1802",1802,"rHMtE",1,2133126,1,45,-1,0,0.957,1,0.242,0
"1803",1803,"rHMtE",10,2162621,1,30,1,153,0.045,-1,0,0
"1804",1804,"rHMtE",11,2165674,1,11,-1,0,0.03,-1,0.273,1
"1805",1805,"rHMtE",12,2168805,1,1,1,154,0.11,-1,0.02,0
"1806",1806,"rHMtE",13,2172037,1,27,-1,0,0.204,-1,0.093,1
"1807",1807,"rHMtE",14,2175124,1,45,-1,0,0.063,1,0.089,0
"1808",1808,"rHMtE",15,2178246,1,49,-1,0,0.086,1,0.358,0
"1809",1809,"rHMtE",16,2181487,1,38,1,151,0.209,1,0.272,1
"1810",1810,"rHMtE",17,2184576,1,49,-1,0,0.069,1,0.197,0
"1811",1811,"rHMtE",18,2187624,1,12,-1,0,0.022,1,0.259,0
"1812",1812,"rHMtE",19,2190725,1,7,1,142,0.071,1,0.019,1
"1813",1813,"rHMtE",2,2136406,1,17,1,144,0.198,1,0.009,1
"1814",1814,"rHMtE",20,2193764,1,34,1,150,0.013,1,0.21,1
"1815",1815,"rHMtE",21,2197047,1,38,1,151,0.259,1,0.212,1
"1816",1816,"rHMtE",22,2200153,1,11,-1,0,0.095,1,0.179,0
"1817",1817,"rHMtE",23,2203546,1,12,-1,0,0.364,-1,0.213,1
"1818",1818,"rHMtE",24,2209584,2,7,1,142,0.044,-1,0.252,0
"1819",1819,"rHMtE",25,2212675,2,17,1,144,0.076,-1,0.24,0
"1820",1820,"rHMtE",26,2215804,2,12,-1,0,0.081,-1,0.24,1
"1821",1821,"rHMtE",27,2218999,2,38,1,151,0.17,-1,0.338,0
"1822",1822,"rHMtE",28,2222085,2,34,1,150,0.066,-1,0.294,0
"1823",1823,"rHMtE",29,2225114,2,1,1,154,0.017,-1,0.354,0
"1824",1824,"rHMtE",3,2139831,1,36,-1,0,0.394,1,0.215,0
"1825",1825,"rHMtE",30,2228367,2,36,-1,0,0.225,-1,0.236,1
"1826",1826,"rHMtE",31,2231495,2,1,1,154,0.096,-1,0.153,0
