,level_0,index,PID,practice,run,block,trial,item_id,stimulus,path,outcome,iti,isi,response,response_acc,response_rt,long_iti,simulation,version
0,0,4,,0,1,1,5,K,,,,3100.0,1800.0,,,,1,1,1
1,1,5,,0,1,1,6,B,,,,1300.0,1100.0,,,,0,1,1
2,2,6,,0,1,1,7,J,,,,1500.0,1700.0,,,,0,1,1
3,3,7,,0,1,1,8,D,,,,2600.0,2500.0,,,,0,1,1
4,4,8,,0,1,1,9,C,,,,2000.0,2400.0,,,,0,1,1
5,5,9,,0,1,1,10,E,,,,4100.0,2900.0,,,,1,1,1
6,6,10,,0,1,1,11,I,,,,2400.0,1000.0,,,,0,1,1
7,7,11,,0,1,1,12,H,,,,1000.0,2900.0,,,,0,1,1
8,8,12,,0,1,1,13,L,,,,1900.0,2700.0,,,,0,1,1
9,9,13,,0,1,1,14,F,,,,1900.0,1200.0,,,,0,1,1
10,10,14,,0,1,1,15,G,,,,5300.0,2500.0,,,,1,1,1
11,11,15,,0,1,1,16,A,,,,2100.0,2400.0,,,,0,1,1
12,12,16,,0,1,2,17,H,,,,1100.0,1500.0,,,,0,1,1
13,13,17,,0,1,2,18,A,,,,1300.0,1900.0,,,,0,1,1
14,14,18,,0,1,2,19,I,,,,1100.0,3400.0,,,,0,1,1
15,15,19,,0,1,2,20,J,,,,2800.0,2800.0,,,,1,1,1
16,16,20,,0,1,2,21,E,,,,1300.0,1400.0,,,,0,1,1
17,17,21,,0,1,2,22,F,,,,1500.0,2200.0,,,,0,1,1
18,18,22,,0,1,2,23,K,,,,2500.0,1700.0,,,,0,1,1
19,19,23,,0,1,2,24,D,,,,1300.0,1100.0,,,,0,1,1
20,20,24,,0,1,2,25,B,,,,2900.0,2700.0,,,,1,1,1
21,21,25,,0,1,2,26,L,,,,1300.0,1600.0,,,,0,1,1
22,22,26,,0,1,2,27,C,,,,2700.0,1800.0,,,,0,1,1
23,23,27,,0,1,2,28,G,,,,2500.0,2100.0,,,,0,1,1
24,24,28,,0,1,3,29,C,,,,1700.0,1900.0,,,,0,1,1
25,25,29,,0,1,3,30,A,,,,1100.0,3100.0,,,,0,1,1
26,26,30,,0,1,3,31,G,,,,1200.0,1300.0,,,,0,1,1
27,27,31,,0,1,3,32,F,,,,2000.0,1500.0,,,,0,1,1
28,28,32,,0,1,3,33,I,,,,3600.0,1000.0,,,,1,1,1
29,29,33,,0,1,3,34,H,,,,1100.0,2100.0,,,,0,1,1
30,30,34,,0,1,3,35,B,,,,1400.0,1100.0,,,,0,1,1
31,31,35,,0,1,3,36,E,,,,1500.0,1600.0,,,,0,1,1
32,32,36,,0,1,3,37,L,,,,1900.0,2300.0,,,,0,1,1
33,33,37,,0,1,3,38,J,,,,2500.0,2800.0,,,,0,1,1
34,34,38,,0,1,3,39,D,,,,1100.0,2100.0,,,,0,1,1
35,35,39,,0,1,3,40,K,,,,1400.0,1900.0,,,,0,1,1
0,0,4,,0,1,1,5,K,,,,2500.0,3300.0,,,,0,2,1
1,1,5,,0,1,1,6,B,,,,1500.0,1300.0,,,,0,2,1
2,2,6,,0,1,1,7,J,,,,1400.0,2300.0,,,,0,2,1
3,3,7,,0,1,1,8,D,,,,2200.0,1500.0,,,,0,2,1
4,4,8,,0,1,1,9,C,,,,3000.0,1200.0,,,,1,2,1
5,5,9,,0,1,1,10,E,,,,1800.0,2000.0,,,,0,2,1
6,6,10,,0,1,1,11,I,,,,1900.0,1300.0,,,,0,2,1
7,7,11,,0,1,1,12,H,,,,1000.0,1300.0,,,,0,2,1
8,8,12,,0,1,1,13,L,,,,1200.0,3400.0,,,,0,2,1
9,9,13,,0,1,1,14,F,,,,3300.0,3000.0,,,,1,2,1
10,10,14,,0,1,1,15,G,,,,2500.0,2500.0,,,,0,2,1
11,11,15,,0,1,1,16,A,,,,1300.0,2500.0,,,,0,2,1
12,12,16,,0,1,2,17,H,,,,2300.0,3000.0,,,,0,2,1
13,13,17,,0,1,2,18,A,,,,1300.0,1300.0,,,,0,2,1
14,14,18,,0,1,2,19,I,,,,2900.0,2600.0,,,,0,2,1
15,15,19,,0,1,2,20,J,,,,4300.0,1900.0,,,,1,2,1
16,16,20,,0,1,2,21,E,,,,1200.0,1600.0,,,,0,2,1
17,17,21,,0,1,2,22,F,,,,1600.0,2000.0,,,,0,2,1
18,18,22,,0,1,2,23,K,,,,1000.0,1100.0,,,,0,2,1
19,19,23,,0,1,2,24,D,,,,2700.0,1200.0,,,,0,2,1
20,20,24,,0,1,2,25,B,,,,2000.0,2000.0,,,,0,2,1
21,21,25,,0,1,2,26,L,,,,1500.0,1500.0,,,,0,2,1
22,22,26,,0,1,2,27,C,,,,3700.0,1200.0,,,,1,2,1
23,23,27,,0,1,2,28,G,,,,2300.0,1400.0,,,,0,2,1
24,24,28,,0,1,3,29,C,,,,2500.0,2000.0,,,,0,2,1
25,25,29,,0,1,3,30,A,,,,1000.0,1100.0,,,,0,2,1
26,26,30,,0,1,3,31,G,,,,1800.0,2800.0,,,,0,2,1
27,27,31,,0,1,3,32,F,,,,1300.0,1300.0,,,,0,2,1
28,28,32,,0,1,3,33,I,,,,3400.0,3100.0,,,,1,2,1
29,29,33,,0,1,3,34,H,,,,2900.0,1000.0,,,,0,2,1
30,30,34,,0,1,3,35,B,,,,1500.0,3400.0,,,,0,2,1
31,31,35,,0,1,3,36,E,,,,1600.0,2800.0,,,,0,2,1
32,32,36,,0,1,3,37,L,,,,1200.0,1600.0,,,,0,2,1
33,33,37,,0,1,3,38,J,,,,2300.0,2600.0,,,,0,2,1
34,34,38,,0,1,3,39,D,,,,1000.0,2400.0,,,,0,2,1
35,35,39,,0,1,3,40,K,,,,1100.0,1500.0,,,,0,2,1
0,0,4,,0,1,1,5,K,,,,3700.0,2600.0,,,,1,3,1
1,1,5,,0,1,1,6,B,,,,1500.0,1400.0,,,,0,3,1
2,2,6,,0,1,1,7,J,,,,1200.0,3400.0,,,,0,3,1
3,3,7,,0,1,1,8,D,,,,1100.0,1200.0,,,,0,3,1
4,4,8,,0,1,1,9,C,,,,1000.0,1400.0,,,,0,3,1
5,5,9,,0,1,1,10,E,,,,3300.0,1300.0,,,,1,3,1
6,6,10,,0,1,1,11,I,,,,2000.0,2200.0,,,,0,3,1
7,7,11,,0,1,1,12,H,,,,1300.0,3000.0,,,,0,3,1
8,8,12,,0,1,1,13,L,,,,1000.0,3200.0,,,,0,3,1
9,9,13,,0,1,1,14,F,,,,1100.0,1000.0,,,,0,3,1
10,10,14,,0,1,1,15,G,,,,1600.0,2300.0,,,,0,3,1
11,11,15,,0,1,1,16,A,,,,3000.0,1100.0,,,,0,3,1
12,12,16,,0,1,2,17,H,,,,5900.0,1900.0,,,,1,3,1
13,13,17,,0,1,2,18,A,,,,1100.0,2400.0,,,,0,3,1
14,14,18,,0,1,2,19,I,,,,3000.0,2700.0,,,,0,3,1
15,15,19,,0,1,2,20,J,,,,2100.0,3100.0,,,,0,3,1
16,16,20,,0,1,2,21,E,,,,1700.0,1300.0,,,,0,3,1
17,17,21,,0,1,2,22,F,,,,4100.0,3400.0,,,,1,3,1
18,18,22,,0,1,2,23,K,,,,2600.0,1800.0,,,,0,3,1
19,19,23,,0,1,2,24,D,,,,1000.0,1100.0,,,,0,3,1
20,20,24,,0,1,2,25,B,,,,1200.0,2400.0,,,,0,3,1
21,21,25,,0,1,2,26,L,,,,2200.0,1200.0,,,,0,3,1
22,22,26,,0,1,2,27,C,,,,3500.0,1000.0,,,,1,3,1
23,23,27,,0,1,2,28,G,,,,1200.0,2500.0,,,,0,3,1
24,24,28,,0,1,3,29,C,,,,2500.0,1500.0,,,,0,3,1
25,25,29,,0,1,3,30,A,,,,1000.0,2200.0,,,,0,3,1
26,26,30,,0,1,3,31,G,,,,1300.0,1800.0,,,,0,3,1
27,27,31,,0,1,3,32,F,,,,1900.0,1400.0,,,,0,3,1
28,28,32,,0,1,3,33,I,,,,1500.0,2600.0,,,,0,3,1
29,29,33,,0,1,3,34,H,,,,4100.0,3200.0,,,,1,3,1
30,30,34,,0,1,3,35,B,,,,1100.0,1400.0,,,,0,3,1
31,31,35,,0,1,3,36,E,,,,1000.0,1200.0,,,,0,3,1
32,32,36,,0,1,3,37,L,,,,1000.0,1100.0,,,,0,3,1
33,33,37,,0,1,3,38,J,,,,2600.0,2700.0,,,,0,3,1
34,34,38,,0,1,3,39,D,,,,1500.0,2500.0,,,,0,3,1
35,35,39,,0,1,3,40,K,,,,1100.0,1500.0,,,,0,3,1
0,0,4,,0,1,1,5,K,,,,4300.0,3000.0,,,,1,4,1
1,1,5,,0,1,1,6,B,,,,1200.0,2300.0,,,,0,4,1
2,2,6,,0,1,1,7,J,,,,1800.0,2300.0,,,,0,4,1
3,3,7,,0,1,1,8,D,,,,2600.0,2400.0,,,,0,4,1
4,4,8,,0,1,1,9,C,,,,1500.0,2300.0,,,,0,4,1
5,5,9,,0,1,1,10,E,,,,4700.0,1300.0,,,,1,4,1
6,6,10,,0,1,1,11,I,,,,1800.0,1100.0,,,,0,4,1
7,7,11,,0,1,1,12,H,,,,1400.0,2600.0,,,,0,4,1
8,8,12,,0,1,1,13,L,,,,1000.0,1400.0,,,,0,4,1
9,9,13,,0,1,1,14,F,,,,1100.0,3400.0,,,,0,4,1
10,10,14,,0,1,1,15,G,,,,3600.0,2400.0,,,,1,4,1
11,11,15,,0,1,1,16,A,,,,1900.0,1900.0,,,,0,4,1
12,12,16,,0,1,2,17,H,,,,1100.0,2500.0,,,,0,4,1
13,13,17,,0,1,2,18,A,,,,1000.0,2100.0,,,,0,4,1
14,14,18,,0,1,2,19,I,,,,1100.0,1100.0,,,,0,4,1
15,15,19,,0,1,2,20,J,,,,2000.0,1400.0,,,,0,4,1
16,16,20,,0,1,2,21,E,,,,1100.0,1600.0,,,,0,4,1
17,17,21,,0,1,2,22,F,,,,3000.0,2200.0,,,,1,4,1
18,18,22,,0,1,2,23,K,,,,2000.0,2300.0,,,,0,4,1
19,19,23,,0,1,2,24,D,,,,1400.0,1900.0,,,,0,4,1
20,20,24,,0,1,2,25,B,,,,1400.0,1700.0,,,,0,4,1
21,21,25,,0,1,2,26,L,,,,1800.0,1700.0,,,,0,4,1
22,22,26,,0,1,2,27,C,,,,3500.0,3300.0,,,,1,4,1
23,23,27,,0,1,2,28,G,,,,1000.0,1200.0,,,,0,4,1
24,24,28,,0,1,3,29,C,,,,2900.0,2100.0,,,,0,4,1
25,25,29,,0,1,3,30,A,,,,1200.0,2400.0,,,,0,4,1
26,26,30,,0,1,3,31,G,,,,1700.0,2300.0,,,,0,4,1
27,27,31,,0,1,3,32,F,,,,1900.0,1900.0,,,,0,4,1
28,28,32,,0,1,3,33,I,,,,2000.0,2100.0,,,,0,4,1
29,29,33,,0,1,3,34,H,,,,5000.0,1400.0,,,,1,4,1
30,30,34,,0,1,3,35,B,,,,1500.0,1200.0,,,,0,4,1
31,31,35,,0,1,3,36,E,,,,1100.0,1200.0,,,,0,4,1
32,32,36,,0,1,3,37,L,,,,1200.0,2000.0,,,,0,4,1
33,33,37,,0,1,3,38,J,,,,1900.0,1000.0,,,,0,4,1
34,34,38,,0,1,3,39,D,,,,2900.0,2200.0,,,,0,4,1
35,35,39,,0,1,3,40,K,,,,1400.0,2800.0,,,,0,4,1
0,0,4,,0,1,1,5,K,,,,3300.0,1500.0,,,,1,5,1
1,1,5,,0,1,1,6,B,,,,1100.0,1100.0,,,,0,5,1
2,2,6,,0,1,1,7,J,,,,1100.0,1600.0,,,,0,5,1
3,3,7,,0,1,1,8,D,,,,1000.0,1900.0,,,,0,5,1
4,4,8,,0,1,1,9,C,,,,1900.0,1900.0,,,,0,5,1
5,5,9,,0,1,1,10,E,,,,1300.0,3300.0,,,,0,5,1
6,6,10,,0,1,1,11,I,,,,1100.0,1700.0,,,,0,5,1
7,7,11,,0,1,1,12,H,,,,1100.0,2200.0,,,,0,5,1
8,8,12,,0,1,1,13,L,,,,3700.0,2000.0,,,,1,5,1
9,9,13,,0,1,1,14,F,,,,1900.0,1700.0,,,,0,5,1
10,10,14,,0,1,1,15,G,,,,1100.0,1400.0,,,,0,5,1
11,11,15,,0,1,1,16,A,,,,2000.0,1600.0,,,,0,5,1
12,12,16,,0,1,2,17,H,,,,1100.0,2000.0,,,,0,5,1
13,13,17,,0,1,2,18,A,,,,4000.0,2400.0,,,,1,5,1
14,14,18,,0,1,2,19,I,,,,1400.0,1700.0,,,,0,5,1
15,15,19,,0,1,2,20,J,,,,1800.0,1600.0,,,,0,5,1
16,16,20,,0,1,2,21,E,,,,3000.0,3500.0,,,,0,5,1
17,17,21,,0,1,2,22,F,,,,1600.0,3100.0,,,,0,5,1
18,18,22,,0,1,2,23,K,,,,1700.0,1800.0,,,,0,5,1
19,19,23,,0,1,2,24,D,,,,4800.0,1800.0,,,,1,5,1
20,20,24,,0,1,2,25,B,,,,1300.0,1500.0,,,,0,5,1
21,21,25,,0,1,2,26,L,,,,2400.0,1400.0,,,,0,5,1
22,22,26,,0,1,2,27,C,,,,1700.0,3000.0,,,,0,5,1
23,23,27,,0,1,2,28,G,,,,1900.0,1100.0,,,,0,5,1
24,24,28,,0,1,3,29,C,,,,3300.0,1600.0,,,,1,5,1
25,25,29,,0,1,3,30,A,,,,2200.0,1300.0,,,,0,5,1
26,26,30,,0,1,3,31,G,,,,1100.0,1400.0,,,,0,5,1
27,27,31,,0,1,3,32,F,,,,1300.0,2100.0,,,,0,5,1
28,28,32,,0,1,3,33,I,,,,1400.0,1900.0,,,,0,5,1
29,29,33,,0,1,3,34,H,,,,1900.0,1800.0,,,,0,5,1
30,30,34,,0,1,3,35,B,,,,3700.0,3400.0,,,,1,5,1
31,31,35,,0,1,3,36,E,,,,3200.0,2000.0,,,,0,5,1
32,32,36,,0,1,3,37,L,,,,1500.0,1200.0,,,,0,5,1
33,33,37,,0,1,3,38,J,,,,1800.0,1900.0,,,,0,5,1
34,34,38,,0,1,3,39,D,,,,1700.0,3500.0,,,,0,5,1
35,35,39,,0,1,3,40,K,,,,1600.0,3100.0,,,,0,5,1
0,0,4,,0,1,1,5,K,,,,1500.0,3300.0,,,,0,6,1
1,1,5,,0,1,1,6,B,,,,1800.0,1100.0,,,,0,6,1
2,2,6,,0,1,1,7,J,,,,1200.0,1200.0,,,,0,6,1
3,3,7,,0,1,1,8,D,,,,2700.0,2100.0,,,,0,6,1
4,4,8,,0,1,1,9,C,,,,1700.0,1800.0,,,,0,6,1
5,5,9,,0,1,1,10,E,,,,4200.0,1900.0,,,,1,6,1
6,6,10,,0,1,1,11,I,,,,1100.0,1400.0,,,,0,6,1
7,7,11,,0,1,1,12,H,,,,1900.0,1200.0,,,,0,6,1
8,8,12,,0,1,1,13,L,,,,1700.0,2500.0,,,,0,6,1
9,9,13,,0,1,1,14,F,,,,1700.0,1400.0,,,,0,6,1
10,10,14,,0,1,1,15,G,,,,1800.0,2100.0,,,,0,6,1
11,11,15,,0,1,1,16,A,,,,3600.0,1800.0,,,,1,6,1
12,12,16,,0,1,2,17,H,,,,2600.0,1800.0,,,,0,6,1
13,13,17,,0,1,2,18,A,,,,1100.0,3200.0,,,,0,6,1
14,14,18,,0,1,2,19,I,,,,1200.0,1300.0,,,,0,6,1
15,15,19,,0,1,2,20,J,,,,1700.0,2600.0,,,,0,6,1
16,16,20,,0,1,2,21,E,,,,2900.0,1500.0,,,,1,6,1
17,17,21,,0,1,2,22,F,,,,1100.0,1400.0,,,,0,6,1
18,18,22,,0,1,2,23,K,,,,2500.0,2100.0,,,,0,6,1
19,19,23,,0,1,2,24,D,,,,1400.0,2700.0,,,,0,6,1
20,20,24,,0,1,2,25,B,,,,2500.0,1200.0,,,,0,6,1
21,21,25,,0,1,2,26,L,,,,1300.0,2000.0,,,,0,6,1
22,22,26,,0,1,2,27,C,,,,1900.0,1600.0,,,,0,6,1
23,23,27,,0,1,2,28,G,,,,3200.0,2800.0,,,,1,6,1
24,24,28,,0,1,3,29,C,,,,1300.0,1100.0,,,,0,6,1
25,25,29,,0,1,3,30,A,,,,1300.0,2000.0,,,,0,6,1
26,26,30,,0,1,3,31,G,,,,2100.0,2700.0,,,,0,6,1
27,27,31,,0,1,3,32,F,,,,1500.0,1300.0,,,,0,6,1
28,28,32,,0,1,3,33,I,,,,1800.0,1800.0,,,,0,6,1
29,29,33,,0,1,3,34,H,,,,1300.0,2100.0,,,,0,6,1
30,30,34,,0,1,3,35,B,,,,5300.0,3400.0,,,,1,6,1
31,31,35,,0,1,3,36,E,,,,1100.0,2200.0,,,,0,6,1
32,32,36,,0,1,3,37,L,,,,2200.0,3300.0,,,,0,6,1
33,33,37,,0,1,3,38,J,,,,1100.0,1400.0,,,,0,6,1
34,34,38,,0,1,3,39,D,,,,1800.0,1700.0,,,,0,6,1
35,35,39,,0,1,3,40,K,,,,2900.0,3000.0,,,,1,6,1
