,PID,trial,pair_id,stim_type,practice,run,block,left_category,right_category,left_stimulus,right_stimulus,left_path,right_path,left_rating,right_rating,iti,scramble_screen_time,scramble_instructed_side,scramble_acc,no_response,rt,left_chosen,chosen_stimulus,unchosen_stimulus,chosen_category,unchosen_category,chosen_path,unchosen_path,long_iti,simulation,version
0,,5,A,scramble,0,1,1,outdoor_scenes,objects,,,,,,,3700.0,1900.0,left,,0,,,,,,,,,1,1,1
1,,6,G,original,0,1,1,objects,outdoor_scenes,,,,,,,1300.0,,,,0,,,,,,,,,0,1,1
2,,7,E,original,0,1,1,objects,body_parts,,,,,,,2300.0,,,,0,,,,,,,,,0,1,1
3,,8,J,scramble,0,1,1,faces,objects,,,,,,,2000.0,1300.0,right,,0,,,,,,,,,0,1,1
4,,9,A,original,0,1,1,outdoor_scenes,objects,,,,,,,1400.0,,,,0,,,,,,,,,0,1,1
5,,10,E,scramble,0,1,1,objects,body_parts,,,,,,,1300.0,1300.0,right,,0,,,,,,,,,0,1,1
6,,11,J,original,0,1,1,faces,objects,,,,,,,2300.0,,,,0,,,,,,,,,0,1,1
7,,12,B,scramble,0,1,1,outdoor_scenes,faces,,,,,,,1600.0,1500.0,right,,0,,,,,,,,,0,1,1
8,,13,I,original,0,1,1,body_parts,outdoor_scenes,,,,,,,3000.0,,,,0,,,,,,,,,1,1,1
9,,14,K,original,0,1,1,body_parts,objects,,,,,,,1900.0,,,,0,,,,,,,,,0,1,1
10,,15,G,scramble,0,1,1,objects,outdoor_scenes,,,,,,,1600.0,1000.0,left,,0,,,,,,,,,0,1,1
11,,16,K,scramble,0,1,1,body_parts,objects,,,,,,,2300.0,1800.0,left,,0,,,,,,,,,0,1,1
12,,17,H,original,0,1,1,faces,outdoor_scenes,,,,,,,1000.0,,,,0,,,,,,,,,0,1,1
13,,18,F,scramble,0,1,1,faces,body_parts,,,,,,,2400.0,1100.0,left,,0,,,,,,,,,0,1,1
14,,19,C,original,0,1,1,outdoor_scenes,body_parts,,,,,,,2400.0,,,,0,,,,,,,,,0,1,1
15,,20,C,scramble,0,1,1,outdoor_scenes,body_parts,,,,,,,3300.0,1500.0,right,,0,,,,,,,,,1,1,1
16,,21,B,original,0,1,1,outdoor_scenes,faces,,,,,,,1000.0,,,,0,,,,,,,,,0,1,1
17,,22,L,scramble,0,1,1,body_parts,faces,,,,,,,1700.0,700.0,left,,0,,,,,,,,,0,1,1
18,,23,I,scramble,0,1,1,body_parts,outdoor_scenes,,,,,,,1400.0,1600.0,left,,0,,,,,,,,,0,1,1
19,,24,D,original,0,1,1,objects,faces,,,,,,,2300.0,,,,0,,,,,,,,,0,1,1
20,,25,H,scramble,0,1,1,faces,outdoor_scenes,,,,,,,2500.0,2000.0,right,,0,,,,,,,,,0,1,1
21,,26,D,scramble,0,1,1,objects,faces,,,,,,,1700.0,1300.0,right,,0,,,,,,,,,0,1,1
22,,27,F,original,0,1,1,faces,body_parts,,,,,,,1000.0,,,,0,,,,,,,,,0,1,1
23,,28,L,original,0,1,1,body_parts,faces,,,,,,,2100.0,,,,0,,,,,,,,,0,1,1
24,,29,F,scramble,0,1,2,faces,body_parts,,,,,,,3700.0,1800.0,right,,0,,,,,,,,,1,1,1
25,,30,B,scramble,0,1,2,outdoor_scenes,faces,,,,,,,1600.0,1700.0,right,,0,,,,,,,,,0,1,1
26,,31,B,original,0,1,2,outdoor_scenes,faces,,,,,,,2100.0,,,,0,,,,,,,,,0,1,1
27,,32,C,original,0,1,2,outdoor_scenes,body_parts,,,,,,,1300.0,,,,0,,,,,,,,,0,1,1
28,,33,D,scramble,0,1,2,objects,faces,,,,,,,1800.0,1900.0,left,,0,,,,,,,,,0,1,1
29,,34,L,scramble,0,1,2,body_parts,faces,,,,,,,3300.0,1300.0,left,,0,,,,,,,,,1,1,1
30,,35,I,original,0,1,2,body_parts,outdoor_scenes,,,,,,,1500.0,,,,0,,,,,,,,,0,1,1
31,,36,J,scramble,0,1,2,faces,objects,,,,,,,2200.0,1800.0,left,,0,,,,,,,,,0,1,1
32,,37,F,original,0,1,2,faces,body_parts,,,,,,,1200.0,,,,0,,,,,,,,,0,1,1
33,,38,D,original,0,1,2,objects,faces,,,,,,,1800.0,,,,0,,,,,,,,,0,1,1
34,,39,A,scramble,0,1,2,outdoor_scenes,objects,,,,,,,3900.0,1200.0,left,,0,,,,,,,,,1,1,1
35,,40,K,original,0,1,2,body_parts,objects,,,,,,,1200.0,,,,0,,,,,,,,,0,1,1
36,,41,L,original,0,1,2,body_parts,faces,,,,,,,1800.0,,,,0,,,,,,,,,0,1,1
37,,42,C,scramble,0,1,2,outdoor_scenes,body_parts,,,,,,,1700.0,1600.0,right,,0,,,,,,,,,0,1,1
38,,43,E,original,0,1,2,objects,body_parts,,,,,,,1400.0,,,,0,,,,,,,,,0,1,1
39,,44,I,scramble,0,1,2,body_parts,outdoor_scenes,,,,,,,2000.0,1300.0,right,,0,,,,,,,,,0,1,1
40,,45,H,original,0,1,2,faces,outdoor_scenes,,,,,,,1900.0,,,,0,,,,,,,,,0,1,1
41,,46,J,original,0,1,2,faces,objects,,,,,,,2700.0,,,,0,,,,,,,,,1,1,1
42,,47,G,scramble,0,1,2,objects,outdoor_scenes,,,,,,,1100.0,1800.0,right,,0,,,,,,,,,0,1,1
43,,48,E,scramble,0,1,2,objects,body_parts,,,,,,,1900.0,1000.0,left,,0,,,,,,,,,0,1,1
44,,49,A,original,0,1,2,outdoor_scenes,objects,,,,,,,2100.0,,,,0,,,,,,,,,0,1,1
45,,50,G,original,0,1,2,objects,outdoor_scenes,,,,,,,1000.0,,,,0,,,,,,,,,0,1,1
46,,51,K,scramble,0,1,2,body_parts,objects,,,,,,,1100.0,1400.0,right,,0,,,,,,,,,0,1,1
47,,52,H,scramble,0,1,2,faces,outdoor_scenes,,,,,,,4200.0,700.0,left,,0,,,,,,,,,1,1,1
0,,5,H,original,0,1,1,faces,outdoor_scenes,,,,,,,3400.0,,,,0,,,,,,,,,1,2,1
1,,6,C,scramble,0,1,1,outdoor_scenes,body_parts,,,,,,,1200.0,1500.0,right,,0,,,,,,,,,0,2,1
2,,7,G,scramble,0,1,1,objects,outdoor_scenes,,,,,,,2600.0,1000.0,left,,0,,,,,,,,,0,2,1
3,,8,C,original,0,1,1,outdoor_scenes,body_parts,,,,,,,2600.0,,,,0,,,,,,,,,0,2,1
4,,9,L,original,0,1,1,body_parts,faces,,,,,,,1200.0,,,,0,,,,,,,,,0,2,1
5,,10,D,scramble,0,1,1,objects,faces,,,,,,,1800.0,1300.0,right,,0,,,,,,,,,0,2,1
6,,11,H,scramble,0,1,1,faces,outdoor_scenes,,,,,,,2500.0,2000.0,right,,0,,,,,,,,,0,2,1
7,,12,K,original,0,1,1,body_parts,objects,,,,,,,1300.0,,,,0,,,,,,,,,0,2,1
8,,13,B,scramble,0,1,1,outdoor_scenes,faces,,,,,,,1500.0,1500.0,right,,0,,,,,,,,,0,2,1
9,,14,J,original,0,1,1,faces,objects,,,,,,,3100.0,,,,0,,,,,,,,,1,2,1
10,,15,F,original,0,1,1,faces,body_parts,,,,,,,1400.0,,,,0,,,,,,,,,0,2,1
11,,16,K,scramble,0,1,1,body_parts,objects,,,,,,,2100.0,1800.0,left,,0,,,,,,,,,0,2,1
12,,17,J,scramble,0,1,1,faces,objects,,,,,,,2700.0,1300.0,right,,0,,,,,,,,,0,2,1
13,,18,G,original,0,1,1,objects,outdoor_scenes,,,,,,,2500.0,,,,0,,,,,,,,,0,2,1
14,,19,A,scramble,0,1,1,outdoor_scenes,objects,,,,,,,2200.0,1900.0,left,,0,,,,,,,,,0,2,1
15,,20,B,original,0,1,1,outdoor_scenes,faces,,,,,,,1600.0,,,,0,,,,,,,,,0,2,1
16,,21,E,original,0,1,1,objects,body_parts,,,,,,,1400.0,,,,0,,,,,,,,,0,2,1
17,,22,F,scramble,0,1,1,faces,body_parts,,,,,,,3900.0,1100.0,left,,0,,,,,,,,,1,2,1
18,,23,I,scramble,0,1,1,body_parts,outdoor_scenes,,,,,,,2900.0,1600.0,left,,0,,,,,,,,,0,2,1
19,,24,D,original,0,1,1,objects,faces,,,,,,,1100.0,,,,0,,,,,,,,,0,2,1
20,,25,L,scramble,0,1,1,body_parts,faces,,,,,,,1200.0,700.0,left,,0,,,,,,,,,0,2,1
21,,26,A,original,0,1,1,outdoor_scenes,objects,,,,,,,1200.0,,,,0,,,,,,,,,0,2,1
22,,27,E,scramble,0,1,1,objects,body_parts,,,,,,,1200.0,1300.0,right,,0,,,,,,,,,0,2,1
23,,28,I,original,0,1,1,body_parts,outdoor_scenes,,,,,,,2500.0,,,,0,,,,,,,,,0,2,1
24,,29,H,scramble,0,1,2,faces,outdoor_scenes,,,,,,,1800.0,700.0,left,,0,,,,,,,,,0,2,1
25,,30,L,scramble,0,1,2,body_parts,faces,,,,,,,1100.0,1300.0,left,,0,,,,,,,,,0,2,1
26,,31,B,original,0,1,2,outdoor_scenes,faces,,,,,,,1200.0,,,,0,,,,,,,,,0,2,1
27,,32,G,original,0,1,2,objects,outdoor_scenes,,,,,,,2900.0,,,,0,,,,,,,,,0,2,1
28,,33,E,scramble,0,1,2,objects,body_parts,,,,,,,3100.0,1000.0,left,,0,,,,,,,,,1,2,1
29,,34,I,original,0,1,2,body_parts,outdoor_scenes,,,,,,,1100.0,,,,0,,,,,,,,,0,2,1
30,,35,A,original,0,1,2,outdoor_scenes,objects,,,,,,,1800.0,,,,0,,,,,,,,,0,2,1
31,,36,B,scramble,0,1,2,outdoor_scenes,faces,,,,,,,1300.0,1700.0,right,,0,,,,,,,,,0,2,1
32,,37,G,scramble,0,1,2,objects,outdoor_scenes,,,,,,,2000.0,1800.0,right,,0,,,,,,,,,0,2,1
