"PID","trial","pair_id","stim_type","practice","run","block","left_category","right_category","left_stimulus","right_stimulus","left_path","right_path","left_rating","right_rating","iti","scramble_screen_time","scramble_instructed_side","scramble_acc","no_response","rt","left_chosen","chosen_stimulus","unchosen_stimulus","chosen_category","unchosen_category","chosen_path","unchosen_path"
NA,32,"G","scramble",0,1,2,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1000,1800,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,33,"K","original",0,1,2,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,3500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,34,"A","scramble",0,1,2,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,1000,1300,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,35,"I","scramble",0,1,2,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2000,1600,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,36,"D","scramble",0,1,2,"objects","faces",NA,NA,"NaN","NaN",NA,NA,1500,1700,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,37,"A","original",0,1,2,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,38,"J","scramble",0,1,2,"faces","objects",NA,NA,"NaN","NaN",NA,NA,1000,1700,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,39,"C","original",0,1,2,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,40,"J","original",0,1,2,"faces","objects",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,41,"E","scramble",0,1,2,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,3000,1600,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,42,"H","original",0,1,2,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,43,"D","original",0,1,2,"objects","faces",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,44,"B","original",0,1,2,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,45,"L","scramble",0,1,2,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,1500,1100,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,46,"I","original",0,1,2,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,47,"E","original",0,1,2,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,3000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,48,"F","original",0,1,2,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,49,"C","scramble",0,1,2,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,3500,1800,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,50,"G","original",0,1,2,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,3000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,51,"L","original",0,1,2,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,52,"K","scramble",0,1,2,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,1000,600,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,53,"K","original",0,2,3,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,54,"B","scramble",0,2,3,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,1000,1500,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,55,"H","original",0,2,3,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,56,"J","scramble",0,2,3,"faces","objects",NA,NA,"NaN","NaN",NA,NA,2000,900,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,57,"F","scramble",0,2,3,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,3500,1000,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,58,"B","original",0,2,3,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,59,"G","original",0,2,3,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,3000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,60,"K","scramble",0,2,3,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,3000,1500,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,61,"I","original",0,2,3,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,62,"E","scramble",0,2,3,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,3000,1100,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,63,"C","original",0,2,3,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,64,"C","scramble",0,2,3,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,2000,1500,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,65,"D","original",0,2,3,"objects","faces",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,66,"G","scramble",0,2,3,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1000,1300,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,67,"J","original",0,2,3,"faces","objects",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,68,"A","scramble",0,2,3,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,1000,600,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,69,"A","original",0,2,3,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,70,"L","original",0,2,3,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,3000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,71,"F","original",0,2,3,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,72,"E","original",0,2,3,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,3500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,73,"L","scramble",0,2,3,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,1500,1200,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,74,"I","scramble",0,2,3,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1000,800,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,75,"D","scramble",0,2,3,"objects","faces",NA,NA,"NaN","NaN",NA,NA,1500,1900,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,76,"H","scramble",0,2,3,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,1500,100,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,77,"L","original",0,2,4,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,78,"H","original",0,2,4,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,3000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,79,"G","scramble",0,2,4,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2000,1100,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,80,"B","original",0,2,4,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,81,"A","original",0,2,4,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,82,"D","scramble",0,2,4,"objects","faces",NA,NA,"NaN","NaN",NA,NA,1000,800,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,83,"K","scramble",0,2,4,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,1000,900,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,84,"D","original",0,2,4,"objects","faces",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,85,"F","original",0,2,4,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,3000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,86,"B","scramble",0,2,4,"outdoor_scenes","faces",NA,NA,"NaN","NaN",NA,NA,1500,600,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,87,"A","scramble",0,2,4,"outdoor_scenes","objects",NA,NA,"NaN","NaN",NA,NA,1500,2000,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,88,"E","original",0,2,4,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,89,"G","original",0,2,4,"objects","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,3500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,90,"J","scramble",0,2,4,"faces","objects",NA,NA,"NaN","NaN",NA,NA,1000,1900,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,91,"H","scramble",0,2,4,"faces","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,3500,1000,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,92,"C","scramble",0,2,4,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,1000,1300,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,93,"J","original",0,2,4,"faces","objects",NA,NA,"NaN","NaN",NA,NA,1000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,94,"I","scramble",0,2,4,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,3000,1900,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,95,"I","original",0,2,4,"body_parts","outdoor_scenes",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,96,"K","original",0,2,4,"body_parts","objects",NA,NA,"NaN","NaN",NA,NA,2000,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,97,"E","scramble",0,2,4,"objects","body_parts",NA,NA,"NaN","NaN",NA,NA,1500,1300,"left",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,98,"C","original",0,2,4,"outdoor_scenes","body_parts",NA,NA,"NaN","NaN",NA,NA,1500,NA,"NaN",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,99,"L","scramble",0,2,4,"body_parts","faces",NA,NA,"NaN","NaN",NA,NA,2000,1700,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
NA,100,"F","scramble",0,2,4,"faces","body_parts",NA,NA,"NaN","NaN",NA,NA,3000,800,"right",NA,0,NA,NA,NA,NA,NA,NA,NA,NA
