,PID,trial,pair_id,stim_type,practice,run,block,left_category,right_category,left_stimulus,right_stimulus,left_path,right_path,left_rating,right_rating,iti,scramble_screen_time,scramble_instructed_side,scramble_acc,no_response,rt,left_chosen,chosen_stimulus,unchosen_stimulus,chosen_category,unchosen_category,chosen_path,unchosen_path,long_iti,simulation,version
0,,1,prac1,original,1,0,0,,,,,Stimuli/Practice_stims/Deliberation/anthony-delanoix-Q0-fOL2nqZc-unsplash.jpg,Stimuli/Practice_stims/Deliberation/becca-tapert-sY5RjMB1KkE-unsplash.jpg,,,1500.0,,,,0,,,,,,,,,,40,3
1,,2,prac2,scramble,1,0,0,,,,,Stimuli/Practice_stims/Deliberation/scramble/scrambled_clay-banks-1KPfcPdbWFM-unsplash.jpg,Stimuli/Practice_stims/Deliberation/scramble/scrambled_melissa-keizer-sV4Pd8wq5_o-unsplash.jpg,,,2500.0,2500.0,left,,0,,,,,,,,,,40,3
2,,3,prac3,scramble,1,0,0,,,,,Stimuli/Practice_stims/Deliberation/scramble/scrambled_anthony-delanoix-Q0-fOL2nqZc-unsplash.jpg,Stimuli/Practice_stims/Deliberation/scramble/scrambled_becca-tapert-sY5RjMB1KkE-unsplash.jpg,,,3000.0,1500.0,right,,0,,,,,,,,,,40,3
3,,4,prac4,original,1,0,0,,,,,Stimuli/Practice_stims/Deliberation/clay-banks-1KPfcPdbWFM-unsplash.jpg,Stimuli/Practice_stims/Deliberation/melissa-keizer-sV4Pd8wq5_o-unsplash.jpg,,,2000.0,,,,0,,,,,,,,,,40,3
4,,5,G,scramble,0,1,1,objects,outdoor_scenes,,,,,,,2900.0,1000.0,left,,0,,,,,,,,,1.0,40,3
5,,6,E,scramble,0,1,1,objects,body_parts,,,,,,,2500.0,1300.0,right,,0,,,,,,,,,0.0,40,3
6,,7,C,original,0,1,1,outdoor_scenes,body_parts,,,,,,,2400.0,,,,0,,,,,,,,,0.0,40,3
7,,8,G,original,0,1,1,objects,outdoor_scenes,,,,,,,1300.0,,,,0,,,,,,,,,0.0,40,3
8,,9,J,scramble,0,1,1,faces,objects,,,,,,,1900.0,1300.0,right,,0,,,,,,,,,0.0,40,3
9,,10,I,original,0,1,1,body_parts,outdoor_scenes,,,,,,,2100.0,,,,0,,,,,,,,,0.0,40,3
10,,11,F,original,0,1,1,faces,body_parts,,,,,,,1200.0,,,,0,,,,,,,,,0.0,40,3
11,,12,D,scramble,0,1,1,objects,faces,,,,,,,3100.0,1300.0,right,,0,,,,,,,,,1.0,40,3
12,,13,A,scramble,0,1,1,outdoor_scenes,objects,,,,,,,2200.0,1900.0,left,,0,,,,,,,,,0.0,40,3
13,,14,D,original,0,1,1,objects,faces,,,,,,,2000.0,,,,0,,,,,,,,,0.0,40,3
14,,15,J,original,0,1,1,faces,objects,,,,,,,1900.0,,,,0,,,,,,,,,0.0,40,3
15,,16,F,scramble,0,1,1,faces,body_parts,,,,,,,1900.0,1100.0,left,,0,,,,,,,,,0.0,40,3
16,,17,B,scramble,0,1,1,outdoor_scenes,faces,,,,,,,3000.0,1500.0,right,,0,,,,,,,,,1.0,40,3
17,,18,L,original,0,1,1,body_parts,faces,,,,,,,1400.0,,,,0,,,,,,,,,0.0,40,3
18,,19,C,scramble,0,1,1,outdoor_scenes,body_parts,,,,,,,2200.0,1500.0,right,,0,,,,,,,,,0.0,40,3
19,,20,L,scramble,0,1,1,body_parts,faces,,,,,,,1900.0,700.0,left,,0,,,,,,,,,0.0,40,3
20,,21,A,original,0,1,1,outdoor_scenes,objects,,,,,,,2600.0,,,,0,,,,,,,,,0.0,40,3
21,,22,E,original,0,1,1,objects,body_parts,,,,,,,1300.0,,,,0,,,,,,,,,0.0,40,3
22,,23,I,scramble,0,1,1,body_parts,outdoor_scenes,,,,,,,1100.0,1600.0,left,,0,,,,,,,,,0.0,40,3
23,,24,H,original,0,1,1,faces,outdoor_scenes,,,,,,,2700.0,,,,0,,,,,,,,,1.0,40,3
24,,25,K,scramble,0,1,1,body_parts,objects,,,,,,,1500.0,1800.0,left,,0,,,,,,,,,0.0,40,3
25,,26,B,original,0,1,1,outdoor_scenes,faces,,,,,,,1300.0,,,,0,,,,,,,,,0.0,40,3
26,,27,H,scramble,0,1,1,faces,outdoor_scenes,,,,,,,1800.0,2000.0,right,,0,,,,,,,,,0.0,40,3
27,,28,K,original,0,1,1,body_parts,objects,,,,,,,1700.0,,,,0,,,,,,,,,0.0,40,3
28,,29,C,scramble,0,1,2,outdoor_scenes,body_parts,,,,,,,3200.0,1600.0,right,,0,,,,,,,,,1.0,40,3
29,,30,L,scramble,0,1,2,body_parts,faces,,,,,,,2400.0,1300.0,left,,0,,,,,,,,,0.0,40,3
30,,31,B,original,0,1,2,outdoor_scenes,faces,,,,,,,2100.0,,,,0,,,,,,,,,0.0,40,3
31,,32,I,scramble,0,1,2,body_parts,outdoor_scenes,,,,,,,1100.0,1300.0,right,,0,,,,,,,,,0.0,40,3
32,,33,B,scramble,0,1,2,outdoor_scenes,faces,,,,,,,1200.0,1700.0,right,,0,,,,,,,,,0.0,40,3
33,,34,A,original,0,1,2,outdoor_scenes,objects,,,,,,,1900.0,,,,0,,,,,,,,,0.0,40,3
34,,35,J,original,0,1,2,faces,objects,,,,,,,3600.0,,,,0,,,,,,,,,1.0,40,3
35,,36,E,scramble,0,1,2,objects,body_parts,,,,,,,2300.0,1000.0,left,,0,,,,,,,,,0.0,40,3
36,,37,K,original,0,1,2,body_parts,objects,,,,,,,2400.0,,,,0,,,,,,,,,0.0,40,3
37,,38,F,scramble,0,1,2,faces,body_parts,,,,,,,2200.0,1800.0,right,,0,,,,,,,,,0.0,40,3
38,,39,H,original,0,1,2,faces,outdoor_scenes,,,,,,,1000.0,,,,0,,,,,,,,,0.0,40,3
39,,40,J,scramble,0,1,2,faces,objects,,,,,,,1400.0,1800.0,left,,0,,,,,,,,,0.0,40,3
40,,41,F,original,0,1,2,faces,body_parts,,,,,,,1300.0,,,,0,,,,,,,,,0.0,40,3
41,,42,K,scramble,0,1,2,body_parts,objects,,,,,,,4300.0,1400.0,right,,0,,,,,,,,,1.0,40,3
42,,43,E,original,0,1,2,objects,body_parts,,,,,,,1900.0,,,,0,,,,,,,,,0.0,40,3
43,,44,H,scramble,0,1,2,faces,outdoor_scenes,,,,,,,2100.0,700.0,left,,0,,,,,,,,,0.0,40,3
44,,45,I,original,0,1,2,body_parts,outdoor_scenes,,,,,,,1200.0,,,,0,,,,,,,,,0.0,40,3
45,,46,D,original,0,1,2,objects,faces,,,,,,,2200.0,,,,0,,,,,,,,,0.0,40,3
