PID,trial,pair_id,stim_type,practice,run,block,left_category,right_category,left_stimulus,right_stimulus,left_path,right_path,left_rating,right_rating,iti,scramble_screen_time,scramble_instructed_side,scramble_acc,no_response,rt,left_chosen,chosen_stimulus,unchosen_stimulus,chosen_category,unchosen_category,chosen_rating,unchosen_rating,chosen_path,unchosen_path
NA,33,C,scramble,0,1,2,outdoor_scenes,body_parts,NA,NA,NaN,NaN,NA,NA,1000,1600,right,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,34,G,original,0,1,2,objects,outdoor_scenes,NA,NA,NaN,NaN,NA,NA,1000,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,35,A,original,0,1,2,outdoor_scenes,objects,NA,NA,NaN,NaN,NA,NA,1000,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,36,I,original,0,1,2,body_parts,outdoor_scenes,NA,NA,NaN,NaN,NA,NA,2000,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,37,K,original,0,1,2,body_parts,objects,NA,NA,NaN,NaN,NA,NA,3500,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,38,H,scramble,0,1,2,faces,outdoor_scenes,NA,NA,NaN,NaN,NA,NA,3000,700,left,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,39,B,scramble,0,1,2,outdoor_scenes,faces,NA,NA,NaN,NaN,NA,NA,1000,1700,right,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,40,B,original,0,1,2,outdoor_scenes,faces,NA,NA,NaN,NaN,NA,NA,1500,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,41,F,scramble,0,1,2,faces,body_parts,NA,NA,NaN,NaN,NA,NA,2000,1800,right,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,42,I,scramble,0,1,2,body_parts,outdoor_scenes,NA,NA,NaN,NaN,NA,NA,1000,1300,right,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,43,H,original,0,1,2,faces,outdoor_scenes,NA,NA,NaN,NaN,NA,NA,3000,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,44,J,scramble,0,1,2,faces,objects,NA,NA,NaN,NaN,NA,NA,3500,1800,left,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,45,J,original,0,1,2,faces,objects,NA,NA,NaN,NaN,NA,NA,1000,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,46,A,scramble,0,1,2,outdoor_scenes,objects,NA,NA,NaN,NaN,NA,NA,2000,1200,left,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,47,F,original,0,1,2,faces,body_parts,NA,NA,NaN,NaN,NA,NA,3000,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,48,D,scramble,0,1,2,objects,faces,NA,NA,NaN,NaN,NA,NA,1000,1900,left,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,49,K,scramble,0,1,2,body_parts,objects,NA,NA,NaN,NaN,NA,NA,3000,1400,right,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,50,D,original,0,1,2,objects,faces,NA,NA,NaN,NaN,NA,NA,2000,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,51,L,scramble,0,1,2,body_parts,faces,NA,NA,NaN,NaN,NA,NA,1500,1300,left,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,52,C,original,0,1,2,outdoor_scenes,body_parts,NA,NA,NaN,NaN,NA,NA,1500,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,53,J,original,0,2,3,faces,objects,NA,NA,NaN,NaN,NA,NA,1500,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,54,A,scramble,0,2,3,outdoor_scenes,objects,NA,NA,NaN,NaN,NA,NA,1500,1400,left,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,55,F,original,0,2,3,faces,body_parts,NA,NA,NaN,NaN,NA,NA,2000,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,56,L,scramble,0,2,3,body_parts,faces,NA,NA,NaN,NaN,NA,NA,3500,1200,left,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,57,B,scramble,0,2,3,outdoor_scenes,faces,NA,NA,NaN,NaN,NA,NA,1000,1400,right,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,58,A,original,0,2,3,outdoor_scenes,objects,NA,NA,NaN,NaN,NA,NA,3000,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,59,H,original,0,2,3,faces,outdoor_scenes,NA,NA,NaN,NaN,NA,NA,1500,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,60,F,scramble,0,2,3,faces,body_parts,NA,NA,NaN,NaN,NA,NA,3000,1100,left,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,61,E,scramble,0,2,3,objects,body_parts,NA,NA,NaN,NaN,NA,NA,1500,900,right,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,62,G,original,0,2,3,objects,outdoor_scenes,NA,NA,NaN,NaN,NA,NA,1500,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,63,G,scramble,0,2,3,objects,outdoor_scenes,NA,NA,NaN,NaN,NA,NA,2000,1300,right,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,64,K,scramble,0,2,3,body_parts,objects,NA,NA,NaN,NaN,NA,NA,3000,900,left,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,65,J,scramble,0,2,3,faces,objects,NA,NA,NaN,NaN,NA,NA,1500,700,right,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,66,K,original,0,2,3,body_parts,objects,NA,NA,NaN,NaN,NA,NA,2000,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,67,D,scramble,0,2,3,objects,faces,NA,NA,NaN,NaN,NA,NA,1000,1500,right,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,68,D,original,0,2,3,objects,faces,NA,NA,NaN,NaN,NA,NA,3500,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,69,I,scramble,0,2,3,body_parts,outdoor_scenes,NA,NA,NaN,NaN,NA,NA,2000,1100,right,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,70,E,original,0,2,3,objects,body_parts,NA,NA,NaN,NaN,NA,NA,1000,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,71,H,scramble,0,2,3,faces,outdoor_scenes,NA,NA,NaN,NaN,NA,NA,1000,1100,left,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,72,L,original,0,2,3,body_parts,faces,NA,NA,NaN,NaN,NA,NA,1000,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,73,C,scramble,0,2,3,outdoor_scenes,body_parts,NA,NA,NaN,NaN,NA,NA,1000,1000,left,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,74,B,original,0,2,3,outdoor_scenes,faces,NA,NA,NaN,NaN,NA,NA,1000,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,75,C,original,0,2,3,outdoor_scenes,body_parts,NA,NA,NaN,NaN,NA,NA,1000,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,76,I,original,0,2,3,body_parts,outdoor_scenes,NA,NA,NaN,NaN,NA,NA,3000,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,77,I,original,0,2,4,body_parts,outdoor_scenes,NA,NA,NaN,NaN,NA,NA,2000,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,78,G,original,0,2,4,objects,outdoor_scenes,NA,NA,NaN,NaN,NA,NA,1000,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,79,C,scramble,0,2,4,outdoor_scenes,body_parts,NA,NA,NaN,NaN,NA,NA,1500,1000,right,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,80,K,scramble,0,2,4,body_parts,objects,NA,NA,NaN,NaN,NA,NA,1000,100,right,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,81,E,scramble,0,2,4,objects,body_parts,NA,NA,NaN,NaN,NA,NA,1000,1800,right,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,82,J,original,0,2,4,faces,objects,NA,NA,NaN,NaN,NA,NA,1000,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,83,A,scramble,0,2,4,outdoor_scenes,objects,NA,NA,NaN,NaN,NA,NA,1000,500,left,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,84,K,original,0,2,4,body_parts,objects,NA,NA,NaN,NaN,NA,NA,3500,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,85,L,original,0,2,4,body_parts,faces,NA,NA,NaN,NaN,NA,NA,1500,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,86,B,original,0,2,4,outdoor_scenes,faces,NA,NA,NaN,NaN,NA,NA,3000,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,87,B,scramble,0,2,4,outdoor_scenes,faces,NA,NA,NaN,NaN,NA,NA,1500,1000,left,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,88,D,scramble,0,2,4,objects,faces,NA,NA,NaN,NaN,NA,NA,3000,1500,right,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,89,A,original,0,2,4,outdoor_scenes,objects,NA,NA,NaN,NaN,NA,NA,1000,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,90,F,scramble,0,2,4,faces,body_parts,NA,NA,NaN,NaN,NA,NA,3500,200,left,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,91,L,scramble,0,2,4,body_parts,faces,NA,NA,NaN,NaN,NA,NA,2000,500,right,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,92,D,original,0,2,4,objects,faces,NA,NA,NaN,NaN,NA,NA,1000,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,93,J,scramble,0,2,4,faces,objects,NA,NA,NaN,NaN,NA,NA,1000,1300,right,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,94,H,scramble,0,2,4,faces,outdoor_scenes,NA,NA,NaN,NaN,NA,NA,1500,1500,left,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,95,F,original,0,2,4,faces,body_parts,NA,NA,NaN,NaN,NA,NA,3000,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,96,I,scramble,0,2,4,body_parts,outdoor_scenes,NA,NA,NaN,NaN,NA,NA,3000,700,left,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,97,E,original,0,2,4,objects,body_parts,NA,NA,NaN,NaN,NA,NA,1500,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,98,G,scramble,0,2,4,objects,outdoor_scenes,NA,NA,NaN,NaN,NA,NA,2000,1100,left,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,99,C,original,0,2,4,outdoor_scenes,body_parts,NA,NA,NaN,NaN,NA,NA,1500,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
NA,100,H,original,0,2,4,faces,outdoor_scenes,NA,NA,NaN,NaN,NA,NA,2000,NA,NaN,NA,0,NA,NA,NA,NA,NA,NA,,,NA,NA
