,chosen,chosen_derivative,unchosen,unchosen_derivative,.5*chosen + .5*unchosen,chosen - unchosen,simulation,version,run,.5*unchosen + .5*chosen,unchosen - chosen
0,1.8231485162585874,2.3636215780840377,1.8828708732781305,2.300528289932812,1.0399055327870035,1.026796884448729,1,1,1,,
1,1.94043215798121,2.4288906211323407,2.004352135807373,2.3567707447540376,1.113210194513711,1.0436067641278393,2,1,1,,
2,2.0997395442373623,2.975349652730192,2.0700055568536944,3.003606017505423,,,3,1,1,1.0655983111488594,1.0067610085718424
3,3.030640748151053,3.8909403373224545,3.096278431987498,3.8075368010323483,1.1861484034790226,1.013903423622447,4,1,1,,
4,2.2234343490869364,2.5587979852163567,2.230591644659734,2.552537108291115,1.1280818212463184,1.0057739240050882,5,1,1,,
5,2.0576675693074074,2.5629324657594963,2.039373113907711,2.5796036428763176,1.0490050670602311,1.0057515840623443,6,1,1,,
6,2.7943578982622244,3.1189538764209117,2.7549206403009956,3.155920204398712,1.0285296584308254,1.0058690746616714,7,1,1,,
7,2.178352536856456,2.359805745213388,2.15024761214264,2.384690121901171,,,8,1,1,1.0173971168650895,1.0805947583017323
8,1.8437653609289104,2.2485919380026993,1.876756012473742,2.2219405832456576,1.0575175087762745,1.0403368409760883,9,1,1,,
9,2.6635641997448714,2.959005203603418,2.7791012328135243,2.8358067794066684,1.1675963417772157,1.0593921112802767,10,1,1,,
10,2.3048903324906145,2.6726266924265016,2.3198839266581395,2.662861396242405,1.252529258189154,1.0068831074573954,1,2,1,,
11,2.2795324687050744,3.1049290502213354,2.2630004451836045,3.1212235900028835,1.1810760721672982,1.004059997925447,2,2,1,,
12,3.0109371306865076,2.7256953840042746,2.9411246407318146,2.789526507664393,,,3,2,1,1.1626500757036906,1.053449993424185
13,2.6368873550866896,3.1707992534054275,2.544764461605671,3.2634501293807237,,,4,2,1,1.1318733483918246,1.1168785205674403
14,2.04011061895364,2.185008399491582,1.958932642877304,2.2675691642829836,1.0555234253914672,1.1116260202439323,5,2,1,,
15,2.073699633601779,2.863345231671634,2.054581003816948,2.880502736840324,,,6,2,1,1.1264153188235788,1.0469631644425075
16,1.9652117923031618,2.045990970158726,1.9655070774451024,2.042793838302568,,,7,2,1,1.0105669699005373,1.0007788619868876
17,2.2363969043638683,2.8784038716616442,2.214353955257998,2.8936821323474953,,,8,2,1,1.0769361557253652,1.0218267442551938
18,2.3380566924487014,2.717249033045878,2.2848511640213176,2.771076221917592,,,9,2,1,1.0313811342750456,1.0373151652071897
19,2.218045709877145,2.760386152646658,2.2175614635226215,2.761490486233527,1.200294648839626,1.0095085248720321,10,2,1,,
20,2.53795674270937,3.718202449630565,2.6311576437465245,3.6329890077037748,1.4607929652034148,1.0298477161133601,1,3,1,,
21,2.4735227930203267,3.2664264033338797,2.5296249025880964,3.2143972894763193,,,2,3,1,1.0502312840688897,1.0208779789319813
22,2.340990803376553,2.6783521268011183,2.3035833676142348,2.714907974125154,,,3,3,1,1.1132114391226666,1.03572369513586
23,2.2883129009969316,2.730897262706813,2.276869931853735,2.7592262411651483,,,4,3,1,1.574474741959353,1.037839293207446
24,2.706021395259783,3.134734237680417,2.6903874675116657,3.1462119495845458,,,5,3,1,1.0503915871381597,1.0361751997265713
25,2.042790068375773,2.565298870206731,1.9499119051674558,2.654415254931978,,,6,3,1,1.1221296550399102,1.084608860647335
26,2.068081278607753,2.909010180106243,2.271719610654864,2.7118631900638457,1.1731807172729876,1.213766478553927,7,3,1,,
27,2.313741391091451,2.9640822312288373,2.3607179375833285,2.9202477777479996,1.10067022975717,1.018648317093943,8,3,1,,
28,2.0129026783735156,2.5612667183129916,1.9996609752529007,2.567591704596597,,,9,3,1,1.0747199913844718,1.0095856703031552
29,1.869600696146099,2.5836423046141883,1.8915478073012713,2.571496692021692,1.016265969061233,1.018164931046479,10,3,1,,
30,1.800424718980218,2.5805186957215414,1.7878045177556345,2.5903863884914933,,,1,4,1,1.4410963303088298,1.0084473543573507
31,2.1391432065743565,2.95289628446093,2.283112934892316,2.81913618846355,1.6906896687606552,1.1618399770173222,2,4,1,,
32,2.450706114212542,2.985062661464729,2.3342539650210723,3.096648347117708,,,3,4,1,1.093940038299597,1.1461410350655996
