,PID,practice,run,block,trial,iti,pair_id,choice_type,reward_type,stimulus_id,path,outcome_response,outcome_rt,outcome_acc,confidence_response,confidence_rt,long_iti,simulation,version
0,,1,0,,1,1500.0,,,,,Stimuli/Practice_stims/Outcome_estimation/becca-tapert-sY5RjMB1KkE-unsplash.jpg,,,,,,,44,4
1,,1,0,,2,1000.0,,,,,Stimuli/Practice_stims/Outcome_estimation/clay-banks-1KPfcPdbWFM-unsplash.jpg,,,,,,,44,4
2,,1,0,,3,3000.0,,,,,Stimuli/Practice_stims/Outcome_estimation/melissa-keizer-sV4Pd8wq5_o-unsplash.jpg,,,,,,,44,4
3,,0,1,1.0,4,3100.0,B,unchosen,,,,,,,,,1.0,44,4
4,,0,1,1.0,5,1400.0,I,unchosen,,,,,,,,,0.0,44,4
5,,0,1,1.0,6,1200.0,L,chosen,,,,,,,,,0.0,44,4
6,,0,1,1.0,7,1800.0,G,unchosen,,,,,,,,,0.0,44,4
7,,0,1,1.0,8,1000.0,E,chosen,,,,,,,,,0.0,44,4
8,,0,1,1.0,9,3200.0,L,unchosen,,,,,,,,,1.0,44,4
9,,0,1,1.0,10,1700.0,D,chosen,,,,,,,,,0.0,44,4
10,,0,1,1.0,11,1500.0,E,unchosen,,,,,,,,,0.0,44,4
11,,0,1,1.0,12,1100.0,K,chosen,,,,,,,,,0.0,44,4
12,,0,1,1.0,13,2200.0,C,chosen,,,,,,,,,0.0,44,4
13,,0,1,1.0,14,2200.0,H,unchosen,,,,,,,,,0.0,44,4
14,,0,1,1.0,15,1500.0,B,chosen,,,,,,,,,0.0,44,4
15,,0,1,1.0,16,3000.0,H,chosen,,,,,,,,,0.0,44,4
16,,0,1,1.0,17,1400.0,F,unchosen,,,,,,,,,0.0,44,4
17,,0,1,1.0,18,1700.0,A,chosen,,,,,,,,,0.0,44,4
18,,0,1,1.0,19,1400.0,J,unchosen,,,,,,,,,0.0,44,4
19,,0,1,1.0,20,3200.0,J,chosen,,,,,,,,,1.0,44,4
20,,0,1,1.0,21,1400.0,A,unchosen,,,,,,,,,0.0,44,4
21,,0,1,1.0,22,1400.0,K,unchosen,,,,,,,,,0.0,44,4
22,,0,1,1.0,23,1200.0,I,chosen,,,,,,,,,0.0,44,4
23,,0,1,1.0,24,1400.0,D,unchosen,,,,,,,,,0.0,44,4
