"","PID","age","art_experience","art_time_spent","clear_instructions","dominant_hand","fluency","gender","native_language","photos","strategy_deliberation","strategy_FD","strategy_unchosen"
"1","1ae5n","26","Novice","1","no","Right","4","Female","Yes","I liked most of them","Yes I imagined each photo as being in a magazine and whether or not it would be successful or not","I tried to remember which gender had a higher approval rate","I tried to decide which one looked more professionally done"
"2","1K9vK","32","Novice","2","no very eady to understand","Right","3","Male","Yes","i really liked them alot","yes i did I tried to adapt it and make it better in the next rounds","I tried to remember which photographs were sold for a profit","I tried my best to compare it to what photos I was shown what was sold for money and make my best guess "
"3","1pow4","28","Novice","1","no","Right","4","Male","Yes","Seemed like happy people","Which one was most interesting ","Not really just tried to memorize the ones that sold well","By which one was visually pleasing"
"4","6mfmY","33","Artist","2","no","Right","4","Male","Yes","cool","no","no","gut feeling"
"5","7ZxYS","29","Novice","5","na","Right","4","Female","Yes","na","na","it was very difficult","the pairs was good and I choose this"
"6","8WXnd","28","Novice","1","Nothing in particular","Right","4","Female","Yes","I thought most of them were really nice","I was mostly just going with the photo I thought would appeal the most to a customer","Nothing in particular other than trying to remember distinct traits in each photo","I went with my gut instinct and also compared between trials to see if they were paired with one I already knew the outcome for"
"7","9nseM","32","Enthusiast","3","No","Right","4","Female","Yes","good photographs","No","No strategy","I did my best of knowledge"
"8","aDc5y","27","Enthusiast","4","","Right","4","Male","Yes","","","",""
"9","AxP3Q","40","Artist","30","Not","Right","4","Female","Yes","Not","Not","Not","Not"
"10","BAPFD","35","Enthusiast","7","No its clear","Right","4","Female","Yes","Its overall good","Based on the emotions of the persons","NO","I choosed basedon how i likely the pairs"
"11","c2yi6","26","Enthusiast","2","No","Right","4","Female","Yes","I thought they were unique and interesting","I picked the one I liked the most","No","I guessed"
"12","CvY1u","27","Enthusiast","2","","Right","4","Male","Yes","","","",""
"13","dhc9M","33","Artist","4","No","Left","4","Male","Yes","The well","NO","Good study","The pairs is wonders"
